date,CPI_SG,Food_Index_SG,median_income_per_household_member_SG,income_index_SG,Food_Index_US,CPI_US,median_income_per_household_member_US,income_index_US
2014-04-01,132.4031007751938,119.84496124031007,2380.0,192.55663430420714,138.56494252873563,136.24827586206897,21125.984251968504,129.80480916903724
2014-03-01,132.86821705426357,119.68992248062015,2380.0,192.55663430420714,138.0609195402299,135.80057471264368,21125.984251968504,129.80480916903724
2014-02-01,132.5581395348837,119.53488372093022,2380.0,192.55663430420714,137.62988505747126,134.9316091954023,21125.984251968504,129.80480916903724
2014-01-01,132.5581395348837,119.68992248062015,2380.0,192.55663430420714,137.2367816091954,134.43448275862067,21125.984251968504,129.80480916903724
2013-12-01,132.4031007751938,118.60465116279069,2247.0,181.79611650485435,136.67816091954023,133.93620689655174,21181.818181818184,130.14787070514626
2013-11-01,132.86821705426357,118.13953488372093,2247.0,181.79611650485435,136.54310344827587,133.94770114942528,21181.818181818184,130.14787070514626
2013-10-01,131.93798449612402,117.984496124031,2247.0,181.79611650485435,136.66321839080462,134.22183908045977,21181.818181818184,130.14787070514626
2013-09-01,131.7829457364341,117.67441860465117,2247.0,181.79611650485435,136.46206896551723,134.5683908045977,21181.818181818184,130.14787070514626
2013-08-01,131.47286821705427,117.51937984496124,2247.0,181.79611650485435,136.40689655172415,134.41206896551725,21181.818181818184,130.14787070514626
2013-07-01,130.54263565891472,117.05426356589147,2247.0,181.79611650485435,136.18218390804597,134.25057471264367,21181.818181818184,130.14787070514626
2013-06-01,130.07751937984497,116.74418604651162,2247.0,181.79611650485435,136.0494252873563,134.19770114942528,21181.818181818184,130.14787070514626
2013-05-01,129.7674418604651,116.58914728682171,2247.0,181.79611650485435,135.9045977011494,133.8764367816092,21181.818181818184,130.14787070514626
2013-04-01,129.30232558139537,116.27906976744185,2247.0,181.79611650485435,136.06954022988506,133.63850574712643,21181.818181818184,130.14787070514626
2013-03-01,131.31782945736435,116.12403100775194,2247.0,181.79611650485435,135.78563218390804,133.77758620689656,21181.818181818184,130.14787070514626
2013-02-01,132.09302325581396,116.58914728682171,2247.0,181.79611650485435,135.76436781609195,133.4287356321839,21181.818181818184,130.14787070514626
2013-01-01,130.69767441860463,116.12403100775194,2247.0,181.79611650485435,135.7373563218391,132.3448275862069,21181.818181818184,130.14787070514626
